belongs_to_collection,budget,genres,id,original_language,overview,popularity,release_date,revenue,title,vote_average,vote_count,return,release_year,Actors,Directores
standar,20000000.0,Comedy Drama,262.0,en,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",9.093411,1982-12-18,0.0,The King of Comedy,7.6,306.0,0.0,1982,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard, Shelley Hack, Catherine Scorsese, Cathy Scorsese, Ralph Monaco, Frederick de Cordova, Ray Dittrich, Richard Dioguardi, Edgar J. Scherick, Ed Herlihy, Lou Brown, Tony Randall, Victor Borge, Joyce Brothers, Liza Minnelli, Martin Scorsese, Loretta Tupper, Peter Potulski, Vinnie Gonzales, Whitey Ryan, Doc Lawless, Charles Scorsese, Mardik Martin, Kim Chan, Joe Strummer, Ellen Foley, Paul Simonon, Tony Devon",Martin Scorsese
standar,0.0,Drama Comedy Romance,351964.0,en,"Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.",6.791697,2015-06-15,0.0,The Escort,6.0,117.0,0.0,2015,"Lyndsy Fonseca, Michael Doneger, Bruce Campbell, Sonya Walger, Rumer Willis, Iqbal Theba, Dan Bakkedahl, Tommy Dewey, Sam Daly, Benita Robledo, Rachel Resheff, Dean Chekvala, Matt Nolan, Anna Konkle, Keisuke Hoashi, Juan Carlos Cantu, Brandon Higa, Joe Burke, Kevin Linehan, Mary Carrig, Hollie Lee, David Kopelev, Troy Blendell, Matt Nolan, Steven Ogg, Jo Galloway, Isabella Day, Chad Anthony Miller, Mason McCulley, Angela Bullock, Shon Lange, Blake Goza, Julia Meltzer",Will Slocombe
Spider-Man Collection,200000000.0,Action Adventure Fantasy,558.0,en,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",10.834506,2004-06-25,783766341.0,Spider-Man 2,6.7,4432.0,3.918831705,2004,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, Donna Murphy, J.K. Simmons, Daniel Gillies, Dylan Baker, Willem Dafoe, Mageina Tovah, Bruce Campbell, Stan Lee, Scott Spiegel, Joel McHale, Hal Sparks, Donnell Rawlings, Emily Deschanel, Elizabeth Banks, Daniel Dae Kim, Aasif Mandvi, Joey Diaz, Vanessa Ferlito, Joy Bryant, John Landis, Phil LaMarr, Gregg Edelman, Ted Raimi, Cliff Robertson, Elya Baskin, Bill Nunn, Brent Briscoe, Christine Estabrook, John Paxton, Joanne Baron, Peter McRobbie, Louis Lombardi, Marc John Jefferies, Reed Diamond, Brendan Patrick Connor, Dan Callahan, Susie Park, Brianna Brown, Tom Carey, Dan Hicks, Timothy Patrick Quill, Tony Campisi, Molly Cheek, Kelly Connell, Roshon Fegan, Taylor Gilbert, Timothy Jerome, Elyse Dinh, Bill E. Rogers, Anne Betancourt, Tricia Peters, Tim Storms, Bill Calvert, Peter Allas, Chloe Dykstra, Julia Max, Calvin Dean, Frank Bonsangue, Andre M. Johnson, Peter Cincotti, Peyton List, Spencer List, Troy Metcalf, Scott Ross, Bonnie Somerville, Wesley Volcy, Lou Volpe, David Boston, Garrett Warren, Michael Arthur, Cindy Cheung",Sam Raimi
standar,0.0,Comedy Thriller,237756.0,en,"While on a seemingly routine job, a jaded hit man discovers that he's not the only one with his target in the crosshairs.",11.616811,2015-04-10,0.0,Kill Me Three Times,5.5,171.0,0.0,2015,"Simon Pegg, Teresa Palmer, Sullivan Stapleton, Alice Braga, Luke Hemsworth, Callan Mulvey, Bryan Brown, Steve Le Marquand",Kriv Stenders
standar,0.0,Action Comedy Crime,9074.0,en,"Special Agent Derrick Vann is a man out to get the man who killed his partner but a case of mistaken identity leads him to Andy Fidler, a salesman with too many questions and a knack of getting in Vanns way",11.127884,2005-09-08,12382362.0,The Man,5.4,137.0,0.0,2005,"Samuel L. Jackson, Eugene Levy, Luke Goss, Miguel Ferrer, Susie Essman, Anthony Mackie, Gigi Rice, Rachael Crawford, Philip Akin, Christopher Murray, Joel S. Keller, John Hemphill, Kathryn Greenwood, George Ghali, Matt Cooke, Joe Sacco, Neville Edwards, Scott Wickware, Tomorrow Baldwin Montgomery, Geoffrey Bowes, Carrie Cain-Sparks, Leni Parker, Randy Butcher",Les Mayfield
Journey Collection,45000000.0,Action Science Fiction Adventure Comedy Family,88751.0,en,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",10.419974,2008-07-10,101702060.0,Journey to the Center of the Earth,5.8,1353.0,2.2600457777777776,2008,"Brendan Fraser, Josh Hutcherson, Anita Briem, Seth Meyers, Jean Michel Paré, Jane Wheeler, Frank Fontaine, Giancarlo Caltabiano, Kaniehtiio Horn, Garth Gilker",Eric Brevig
standar,0.0,Drama Horror,10657.0,en,"The devil in disguise comes to a quiet, peaceful town and opens a store called Needful Things. The store has an item for everyone in town. All the devil asks for in return is a few dirty pranks. Little do they know, that they've sold their souls, and the pranks escalate to murder.",10.560238,1993-08-27,0.0,Needful Things,5.9,136.0,0.0,1993,"Max von Sydow, Ed Harris, Bonnie Bedelia, Amanda Plummer, J.T. Walsh, Ray McKinnon, Duncan Fraser, Valri Bromfield, Shane Meier, William Morgan Sheppard, Don S. Davis, Campbell Lane, Eric Schneider, Frank C. Turner, Gillian Barber, Deborah Wakeham, Tamsin Kelsey, Lochlyn Munro, Bill Croft, Dee Jay Jackson, Ann Warn Pegg, Gary Paller, Sarah Sawatsky, Robert Easton, Mike Chute, Mel Allen, Trevor Denman, Lisa Blount",Fraser Clarke Heston
standar,8500000.0,Drama,339408.0,en,"Nat Turner, a former slave in America, leads a liberation movement in 1831 to free African-Americans in Virgina that results in a violent retaliation from whites.",5.933047,2016-09-09,15861566.0,The Birth of a Nation,6.4,181.0,1.866066588235294,2016,"Nate Parker, Armie Hammer, Aja Naomi King, Jackie Earle Haley, Penelope Ann Miller, Gabrielle Union, Mark Boone Junior, Aunjanue Ellis, Dwight Henry, Esther Scott, Roger Guenveur Smith, Jeryl Prescott, Colman Domingo, Dominic Bogart, Jason Stuart, Katie Garfield, Jayson Warner Smith, Steve Coulter, Aiden Flowers, Dane Davenport, Bradley Bowen, Chiké Okonkwo, Tony Espinosa, Kai Norris, Chris Greene, Kelvin Harrison, Justin Randell Brooke, Ryan Mulkay, Allen Phoenix, Vincent Anthony, Bobby Batson, Damon Bellmon, Gregory Black, Alkoya Brunson, Anthony Bryant, Victoria Budkey, Sheila Cochran, Logan Coffey, Kemuel Crossty, Nicole Davis, Morgen Dukes, Shannon Edwards",Nate Parker
The Exorcist Collection,0.0,Thriller Horror Mystery,11587.0,en,"Set fifteen years after the original film, The Exorcist III centers around the philosophical Lieutenant William F. Kinderman who is investigating a baffling series of murders around Georgetown that all contain the hallmarks of The Gemini, a deceased serial killer. It eventually leads him to a catatonic patient in a psychiatric hospital who has recently started to speak, claiming he is the The Gemini and detailing the murders, but bears a striking resemblance to Father Damien Karras.",5.861032,1990-08-17,39024251.0,The Exorcist III,6.1,135.0,0.0,1990,"George C. Scott, Ed Flanders, Brad Dourif, Jason Miller, Nicol Williamson, Scott Wilson, Nancy Fish, George DiCenzo, Don Gordon, Lee Richardson, Grand L. Bush, Mary Jackson, Viveca Lindfors, Ken Lerner, Tracy Thorne, Barbara Baxley, Zohra Lampert, Harry Carey, Jr., Sherrie Wills, Edward Lynch, Clifford David, Alex Zuckerman, Lois Foraker, Tyra Ferrell, James Burgess, Kevin Corrigan, Peggy Alston, John Durkin, Bobby Deren, Jan Neuberger, Alexis Chieffet, Debra Port, Walt MacPherson, David Dwyer, Danny Epper, William Preston, Chuck Kinlaw, Demetrios Pappageorge, Nina Hansen, Shane Wexel, Ryan Paul Amick, John Coe, Jodi Long, Kathy Gerber, Samuel L. Jackson, Jan Smook, Amelia Campbell, Cherie Baron, Larry King, C. Everett Koop, Patrick Ewing, Fabio, Colleen Dewhurst",William Peter Blatty
standar,0.0,Romance Action Adventure Western Drama,9588.0,en,"American Matt Quigley answers Australian land baron Elliott Marston's ad for a sharpshooter to kill the dingoes on his property. But when Quigley finds out that Marston's real target is the aborigines, Quigley hits the road. Now, even American expatriate Crazy Cora can't keep Quigley safe in his cat-and-mouse game with the homicidal Marston.",12.620366,1990-10-17,0.0,Quigley Down Under,6.5,120.0,0.0,1990,"Tom Selleck, Laura San Giacomo, Alan Rickman, Chris Haywood, Ron Haddrick, Tony Bonner, Ben Mendelsohn, Michael Carman",Simon Wincer
Darkman Collection,16000000.0,Action Science Fiction Crime,9556.0,en,"Dr. Peyton Westlake is on the verge of realizing a major breakthrough in synthetic skin when his laboratory is destroyed by gangsters. Having been burned beyond recognition and forever altered by an experimental medical procedure, Westlake becomes known as Darkman, assuming alternate identities in his quest for revenge and a new life with a former love.",8.899418,1990-08-24,48878502.0,Darkman,6.2,304.0,3.054906375,1990,"Liam Neeson, Frances McDormand, Colin Friels, Larry Drake, Nelson Mashita, Jessie Lawrence Ferguson, Rafael H. Robledo, Dan Hicks, Ted Raimi, Dan Bell, Nicholas Worth, Aaron Lustig, Arsenio 'Sonny' Trinidad, John Landis, Bruce Campbell, William Lustig, Scott Spiegel, Professor Toru Tanaka, Jenny Agutter, Ethan Coen, Joel Coen",Sam Raimi
standar,85000000.0,Comedy Family Fantasy,9986.0,en,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",10.254314,2006-12-15,144000000.0,Charlotte's Web,5.8,300.0,1.6941176470588235,2006,"Julia Roberts, Steve Buscemi, John Cleese, Oprah Winfrey, Cedric the Entertainer, Reba McEntire, Kathy Bates, Robert Redford, Thomas Haden Church, André Benjamin, Dominic Scott Kay, Sam Shepard, Abraham Benrubi, Dakota Fanning, Kevin Anderson, Essie Davis, Siobhan Fallon, Louis Corbett, Robyn Arthur, Julian O'Donnell, Gary Basaraba, Nate Mooney, Nicholas Bell, Beau Bridges, Teague Rook, Julia Zemiro, Denise Kirby, Robert Plazek, Joseph Lotesto, Michael Roland, Don Bridges, Ian Watkin, Joel McCrary, Brian Stepanek, Fred Tatasciore, Bradley White, Maia Kirkpatrick, Jennessa Rose, Briana Hodge, Dale Azzopardi, Geoff Burgess, Ella Scott Lynch, Greg Marian, Stefano Mazzeo, Elizabeth Saunders",Gary Winick
Evil Dead Collection,3600000.0,Horror Comedy Fantasy,765.0,en,Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from “The Book of the Dead.” As they play the recording an evil power is unleashed taking over Linda’s body.,13.520764,1987-03-13,5923044.0,Evil Dead II,7.5,760.0,1.64529,1987,"Bruce Campbell, Sarah Berry, Dan Hicks, Kassie DePaiva, Denise Bixler, Richard Domeier, John Peakes, Lou Hancock, Ted Raimi",Sam Raimi
standar,32000000.0,Drama Fantasy Romance Science Fiction,9294.0,en,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",5.575992,1996-07-05,152036382.0,Phenomenon,6.2,328.0,4.7511369375,1996,"John Travolta, Kyra Sedgwick, Forest Whitaker, Robert Duvall, Jeffrey DeMunn, Richard Kiley, David Gallagher, Ashley Buccille, Tony Genaro, Sean O'Bryan, Troy Evans, Bruce A. Young, Vyto Ruginis, Brent Spiner, Susan Merson, Michael Milhoan",Jon Turteltaub
standar,0.0,Drama Mystery Thriller,311667.0,en,"Porter Wren is a Manhattan tabloid writer with an appetite for scandal. On the beat he sells murder, tragedy, and anything that passes for the truth. At home, he is a dedicated husband and father. But when Caroline, a seductive stranger asks him to dig into the unsolved murder of her filmmaker husband Simon, he is drawn into a very nasty case of sexual obsession and blackmail--one that threatens his job, his marriage, and his life.",11.139734,2016-05-20,0.0,Manhattan Night,6.1,115.0,0.0,2016,"Adrien Brody, Yvonne Strahovski, Campbell Scott, Jennifer Beals, Steven Berkoff, Linda Lavin, Kevin Breznahan, Thomas Bair, Will Beinbrink, Frank Deal, Chinasa Ogbuagu, Uzimann, Amelie McKendry",Brian DeCubellis
standar,1500000.0,Drama,221.0,en,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",10.968169,1955-10-27,0.0,Rebel Without a Cause,7.6,351.0,0.0,1955,"James Dean, Natalie Wood, Sal Mineo, Ann Doran, Jim Backus, Corey Allen, William Hopper, Rochelle Hudson, Dennis Hopper, Edward Platt, Steffi Sidney, Virginia Brissac, Beverly Long, Ian Wolfe, Frank Mazzola, Robert Foulk, Jack Simmons, Nick Adams, Jack Grinnage, Clifford Morris, Marietta Canty, Almira Sessions, Paul Birch, Dorothy Abbott, Jimmy Baird, Paul Bryar, John Close, Chuck Hamilton, Chuck Hicks, Nelson Leigh, David McMahon, Edward McNally, Peter Miller, Faye Michael Nuell, House Peters Jr., Nicholas Ray, Gus Schilling, Bert Stevens, Dick Wessel, Robert Williams, Ralph Moratz",Nicholas Ray
Joy Ride Collection,23000000.0,Mystery Thriller Drama,10866.0,en,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",10.337689,2001-10-05,36642838.0,Joy Ride,6.3,328.0,1.5931668695652175,2001,"Steve Zahn, Paul Walker, Leelee Sobieski, Jessica Bowman, Stuart Stone, Basil Wallace, Brian Leckner, Mary Wickliffe, McKenzie Satterthwaite, Dell Yount, Kenneth White, Luis Cortés, Michael McCleery, Jim Beaver, Rachel Singer, Satch Huizenga, Terry Leonard, Gwenda Deacon, Robert Winley, Ali Gage, Jack Moore, Hugh Dane, Lee Stepp, Jay Hernandez, Huey Redwine, John Maynard, Peter Weireter, James MacDonald",John Dahl
standar,25000000.0,Comedy,9352.0,en,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",6.275468,2004-02-20,20796847.0,EuroTrip,6.5,673.0,0.83187388,2004,"Scott Mechlowicz, Jacob Pitts, Michelle Trachtenberg, Travis Wester, Vinnie Jones, Lucy Lawless, Jessica Boehrs, Patrick Malahide, Patrick Rapold, Diedrich Bader, Kristin Kreuk, Matt Damon, Molly Schade, Jakki Degg, Lenka Vomocilova, Cathy Meils, Nial Iskhakov, Petr Jákl ml., Jana Pallaske, Dominic Raacke, Walter Sittler, Ellen Savaria",Jeff Schaffer
standar,8000000.0,Drama,73873.0,en,"Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",5.379039,2011-12-21,5634828.0,Albert Nobbs,6.2,136.0,0.7043535,2011,"Glenn Close, Mia Wasikowska, Aaron Taylor-Johnson, Pauline Collins, Brendan Gleeson, Jonathan Rhys Meyers, Antonia Campbell-Hughes, Maria Doyle Kennedy, Mark Williams, James Greene, Serena Brabazon, Michael McElhatton, Phyllida Law, Bronagh Gallagher, Annie Starke, Janet McTeer",Rodrigo García
The Expendables Collection,80000000.0,Thriller Adventure Action,27578.0,en,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",14.75562,2010-08-03,274470394.0,The Expendables,6.0,2977.0,3.430879925,2010,"Sylvester Stallone, Jason Statham, Dolph Lundgren, Eric Roberts, Randy Couture, Steve Austin, David Zayas, Giselle Itié, Terry Crews, Mickey Rourke, Bruce Willis, Arnold Schwarzenegger, Charisma Carpenter, Amin Joseph, Senyo Amoaku, Hank Amos, Antonio Rodrigo Nogueira, Sassa Nacimento, R.A. Rondell, Tze Yep, Gary Daniels, Jet Li",Sylvester Stallone
standar,80000000.0,Animation Family Adventure,77951.0,en,"Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",8.883866,2013-12-18,126546518.0,Walking With Dinosaurs,5.2,136.0,1.581831475,2013,"Charlie Rowe, Justin Long, Karl Urban, Angourie Rice, John Leguizamo, Skyler Stone, Tiya Sircar, Clay Savage, Michael Leone, Katie Silverman, Madison Moellers, Mary Mouser","Neil Nightingale, Barry Cook"
standar,30000000.0,Action Thriller Adventure,50456.0,en,"A 16-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe. Tracked by a ruthless operatives, she faces startling revelations about her existence and questions about her humanity.",8.071196,2011-04-07,63782078.0,Hanna,6.5,1284.0,2.1260692666666667,2011,"Saoirse Ronan, Eric Bana, Vicky Krieps, Cate Blanchett, Tom Hollander, John MacMillan, Tim Beckmann, Paul Birchard, Christian Malcolm, Jamie Beamish, Jessica Barden, Olivia Williams, Jason Flemyng, Michelle Dockery, Sebastian Hülk, Joel Basman, Martin Wuttke, Aldo Maland",Joe Wright
standar,0.0,Animation Family,13933.0,en,"With one coin to make a wish at the piazza fountain, a peasant girl encounters two competing street performers who'd prefer the coin find its way into their tip jars. The little girl, Tippy, is caught in the middle as a musical duel ensues between the one-man-bands.",4.410709,2005-06-21,0.0,One Man Band,7.2,128.0,0.0,2005,,"Andrew Jimenez, Mark Andrews"
standar,35000000.0,Drama Crime,8065.0,en,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",8.33756,2008-03-27,69823199.0,21,6.5,1406.0,1.994948542857143,2008,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin, Ben Campbell",Robert Luketic
